;word list generated with Sketch Engine https://www.sketchengine.co.uk/word-lists/;;
;language:;English;
;corpus:;English Web 2013;
;noun;frequence;
1;time;69 683;1
2;year;58 762;0,843275978
3;people;58 218;0,835469196
4;way;41 922;0,601610149
5;day;36 752;0,527417017
6;thing;32 595;0,467761147
7;information;30 241;0,433979593
8;work;27 374;0,392836129
9;business;27 156;0,389707676
10;service;26 074;0,374180216
11;life;25 561;0,366818306
12;company;25 409;0,364636999
13;site;25 073;0,359815163
14;world;23 559;0,338088199
15;part;23 460;0,33666748
16;system;22 601;0,324340226
17;student;22 039;0,316275132
18;child;21 266;0,305182039
19;program;20 601;0,295638822
20;number;19 631;0,28171864
21;place;18 430;0,264483446
22;lot;18 222;0,2614985
23;week;18 207;0,26128324
24;something;18 056;0,259116284
25;family;17 806;0,255528608
26;page;17 800;0,255442504
27;home;17 589;0,252414506
28;book;17 354;0,249042091
29;case;17 187;0,246645523
30;group;17 178;0,246516367
31;problem;17 171;0,246415912
32;product;17 131;0,245841884
33;school;17 117;0,245640974
34;community;17 028;0,244363762
35;area;16 872;0,242125052
36;member;16 809;0,241220958
37;website;16 615;0,238436921
38;experience;16 540;0,237360619
39;issue;16 379;0,235050156
40;project;16 358;0,234748791
41;state;16 107;0,231146765
42;user;15 694;0,225219925
43;month;15 578;0,223555243
44;question;15 570;0,223440437
45;woman;15 318;0,21982406
46;point;15 290;0,219422241
47;game;15 195;0,218058924
48;course;15 146;0,21735574
49;country;15 061;0,21613593
50;government;15 039;0,215820214
51;idea;14 949;0,214528651
52;event;14 931;0,214270339
53;process;14 872;0,213423647
54;name;14 660;0,210381298
55;use;14 547;0,208759669
56;result;14 518;0,208343498
57;man;14 365;0,206147841
58;example;14 294;0,205128941
59;money;14 152;0,203091141
60;datum;14 055;0,201699123
61;change;14 051;0,20164172
62;today;14 032;0,201369057
63;research;13 897;0,199431712
64;job;13 860;0,198900736
65;New;13 831;0,198484566
66;customer;13 697;0,196561572
67;post;13 661;0,196044946
68;team;13 640;0,195743582
69;right;13 344;0,191495774
70;level;13 199;0,189414922
71;friend;12 695;0,182182168
72;blog;12 554;0,180158719
73;order;12 543;0,180000861
74;person;12 525;0,179742548
75;fact;12 476;0,179039364
76;term;12 237;0,175609546
77;health;12 091;0,173514344
78;content;11 762;0,168792962
79;law;11 755;0,168692507
80;type;11 649;0,167171333
81;market;11 618;0,166726461
82;other;11 571;0,166051978
83;end;11 497;0,164990026
84;Google;11 428;0,163999828
85;word;11 411;0,163755866
86;policy;11 370;0,163167487
87;development;11 360;0,16302398
88;value;11 279;0,161861573
89;university;11 266;0,161675014
90;food;11 252;0,161474104
91;medium;11 238;0,161273194
92;article;11 159;0,160139489
93;power;11 138;0,159838124
94;hour;11 041;0,158446106
95;support;10 855;0,155776875
96;line;10 835;0,155489861
97;technology;10 823;0,155317653
98;need;10 721;0,153853881
99;list;10 697;0,153509464
100;search;10 686;0,153351607
101;opportunity;10 651;0,152849332
102;cost;10 590;0,151973939
103;water;10 587;0,151930887
104;link;10 531;0,151127248
105;form;10 438;0,149792632
106;reason;10 326;0,148185354
107;study;10 136;0,14545872
108;application;9 991;0,143377868
109;report;9 986;0,143306115
110;tool;9 965;0,14300475
111;hand;9 931;0,142516826
112;activity;9 907;0,142172409
113;design;9 874;0,141698836
114;interest;9 837;0,14116786
115;plan;9 794;0,14055078
116;action;9 661;0,138642137
117;history;9 593;0,137666289
118;industry;9 508;0,136446479
119;organization;9 368;0,134437381
120;bit;9 352;0,134207769
121;option;9 351;0,134193419
122;client;9 313;0,133648092
123;story;9 312;0,133633741
124;someone;9 147;0,131265875
125;class;9 123;0,130921459
126;price;9 055;0,129945611
127;side;9 019;0,129428986
128;kind;8 993;0,129055867
129;rate;8 986;0,128955412
130;source;8 863;0,127190276
131;quality;8 838;0,126831508
132;web;8 827;0,126673651
133;education;8 810;0,126429689
134;U.S.;8 809;0,126415338
135;practice;8 769;0,12584131
136;comment;8 760;0,125712154
137;city;8 732;0,125310334
138;care;8 662;0,124305785
139;car;8 636;0,123932667
140;party;8 468;0,121521748
141;file;8 368;0,120086678
142;image;8 365;0,120043626
143;marketing;8 347;0,119785313
144;body;8 344;0,119742261
145;Internet;8 291;0,118981674
146;benefit;8 281;0,118838167
147;resource;8 272;0,118709011
148;effort;8 105;0,116312443
149;email;8 098;0,116211989
150;card;8 040;0,115379648
151;sale;8 005;0,114877373
152;video;7 912;0,113542758
153;room;7 900;0,113370549
154;United;7 896;0,113313147
155;access;7 880;0,113083535
156;solution;7 866;0,112882626
157;step;7 863;0,112839573
158;anything;7 796;0,111878076
159;minute;7 791;0,111806323
160;account;7 752;0,111246646
161;decision;7 745;0,111146191
162;network;7 670;0,110069888
163;house;7 660;0,109926381
164;view;7 637;0,109596315
165;version;7 627;0,109452808
166;everything;7 606;0,109151443
167;amount;7 604;0,109122742
168;management;7 599;0,109050988
169;night;7 560;0,108491311
170;model;7 556;0,108433908
171;space;7 513;0,107816828
172;goal;7 505;0,107702022
173;feature;7 490;0,107486761
174;effect;7 490;0,107486761
175;role;7 457;0,107013188
176;field;7 441;0,106783577
177;material;7 410;0,106338705
178;credit;7 355;0,105549417
179;everyone;7 296;0,104702725
180;software;7 266;0,104272204
181;training;7 258;0,104157399
182;office;7 214;0,103525968
183;mind;7 185;0,103109797
184;National;7 124;0,102234404
185;age;7 117;0,102133949
186;news;7 054;0,101229855
187;i;7 032;0,10091414
188;phone;7 022;0,100770633
189;York;7 009;0,100584074
190;skill;6 999;0,100440567
191;parent;6 977;0,100124851
192;individual;6 949;0,099723031
193;relationship;6 943;0,099636927
194;control;6 893;0,098919392
195;computer;6 889;0,098861989
196;risk;6 881;0,098747184
197;employee;6 880;0,098732833
198;show;6 874;0,098646729
199;music;6 874;0,098646729
200;energy;6 863;0,098488871
